Hyundai Tucson 2023,37668,156
Mitsubishi Outlander 2022,38019,167
Mitsubishi Outlander 2022,28937,145
Skoda Kodiaq 2023,48005,200
Mitsubishi Outlander 2022,27550,145
Mitsubishi Outlander 2022,34849,167
Ford Kuga 2022,31325,182
Mitsubishi Outlander 2022,30074,145
Mitsubishi Outlander 2023,32637,145
Mitsubishi ASX 2022,30790,150
Ford Kuga 2022,34948,182
Renault Duster 2023,23550,110
Mazda CX-5 2022,36265,194
Peugeot Boxer груз. 2022,30753,335
Fiat 500 2022,17366,69
Renault Koleos 2023,34195,171
Peugeot 2008 2023,23934,130
Skoda Kodiaq 2023,40909,180
Renault Duster 2023,23882,110
Audi SQ7 2023,125603,507
Skoda Kodiaq 2023,48330,200
Peugeot 2008 2023,29131,130
Peugeot 2008 2023,27471,130
Ford Tourneo Custom 2023,59824,320
Skoda Kodiaq 2023,42215,180
Peugeot 2008 2023,27657,130
Skoda Kodiaq 2023,45479,180
Jaguar I-Pace 2023,81739,400
Renault Koleos 2022,30197,171
Hyundai Tucson 2022,46924,230
Peugeot 2008 2023,29619,130
Toyota Highlander 2023,66216,243
Peugeot 2008 2023,29824,130
Skoda Kodiaq 2022,39357,180
Peugeot 2008 2023,27676,130
Land Rover Range Rover Velar 2023,87376,250
Hyundai Kona Electric 2022,38810,136
Skoda Octavia 2023,27446,150
Ford Kuga 2022,39614,182
Skoda Karoq 2022,30790,150
Skoda Karoq 2022,30790,150
Citroen C5 Aircross 2023,32134,180
Peugeot 2008 2023,24498,130
Mitsubishi Outlander 2023,29478,145
MG HS 2022,23336,169
Mitsubishi Outlander 2022,36594,167
Hyundai Tucson 2023,31976,156
Mitsubishi ASX 2022,29157,150
Fiat Fiorino пасс. 2022,16798,77
Renault Koleos 2023,35519,171
Volkswagen T-Roc 2021,27191,150
Mitsubishi ASX 2022,26516,150
Peugeot 3008 2022,46168,180
Ford Kuga 2021,30854,182
Peugeot 2008 2023,27676,130
Peugeot 3008 2022,35858,150
Nissan Qashqai 2023,34361,158
Toyota Yaris Cross 2023,34293,116
Renault Koleos 2022,32558,171
Renault Express Van 2023,19143,95
Ford Kuga 2023,31473,182
MG ZS 2023,20616,114
Toyota Land Cruiser 300 2023,102615,299
Ford Kuga 2022,30935,182
Renault Duster 2023,19531,115
Volkswagen Tiguan 2023,44488,220
Land Rover Range Rover Velar 2022,94293,204
Nissan Qashqai 2023,32421,158
Volkswagen T-Roc 2021,29157,150
Nissan Qashqai 2022,31191,158
Nissan Qashqai 2023,34123,158
Chery Tiggo 4 2022,16123,113
Fiat Doblo груз. 2022,22620,105
Nissan Qashqai 2022,24524,140
Skoda Kodiaq 2023,50176,200
MG ZS 2021,23027,156
Skoda Kodiaq 2022,39305,180
Citroen C5 Aircross 2023,33728,180
Renault Master 2023,31014,125
Fiat Doblo пасс. 2022,23684,105
Ford Kuga 2023,31473,182
MG ZS 2023,20616,114
Toyota Land Cruiser 300 2023,102615,299
Ford Kuga 2022,30935,182
Renault Duster 2023,19531,115
Volkswagen Tiguan 2023,44488,220
Land Rover Range Rover Velar 2022,94293,204
Nissan Qashqai 2023,32421,158
Volkswagen T-Roc 2021,29157,150
Nissan Qashqai 2022,31191,158
Nissan Qashqai 2023,34123,158
Chery Tiggo 4 2022,16123,113
Fiat Doblo груз. 2022,22620,105
Nissan Qashqai 2022,24524,140
Skoda Kodiaq 2023,50176,200
MG ZS 2021,23027,156
Skoda Kodiaq 2022,39305,180
Citroen C5 Aircross 2023,33728,180
Renault Master 2023,31014,125
Fiat Doblo пасс. 2022,23684,105
Citroen C5 Aircross 2022,34784,180
MG Marvel R 2022,40402,180
MG Marvel R 2022,48036,180
MG HS 2022,23031,169
Volkswagen T-Roc 2022,33292,150
Peugeot 2008 2023,29888,130
MG 4 2022,26303,170
Audi Q7 2023,98448,286
Volkswagen Touareg 2023,90909,286
Hyundai Kona Electric 2022,41499,204
Peugeot 3008 2023,30064,130
Citroen Jumper груз. 2022,48235,130
Skoda Octavia 2023,24181,150
Suzuki Vitara 2022,25890,129
Suzuki S-Cross 2023,23826,140
Hyundai Staria 2023,62503,177
Haval H6 2022,33128,204
MG HS 2022,23858,169
Fiat Fiorino груз. 2023,16583,77
Renault Express 2023,21553,95
Hyundai Venue 2022,22104,123
Land Rover Discovery Sport 2022,74039,250
BMW X3 2022,47759,245
Renault Duster 2022,20648,115
MG ZS 2023,20616,114
Peugeot 3008 2022,46107,180
Mitsubishi ASX 2022,29183,150
Hyundai Staria 2023,46663,177
SEAT Ateca 2022,29404,150
Hyundai Venue 2022,24203,123
Skoda Octavia 2023,23529,150
Skoda Kodiaq 2023,50176,200
Lexus ES 2023,61155,300
Hyundai Kona Electric 2022,30471,136
Volkswagen Touareg 2023,85884,286
Ford Kuga 2023,34270,182
Mitsubishi Outlander 2022,34712,145
Volkswagen T-Roc 2023,35448,150
Mitsubishi Outlander 2022,29491,145
